WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18050238,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,285.00
VOL18090375,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Fuzhou (China),Ho Chi Minh (Vietnam),2,,,PP,284.64
VOL18020051,Nomination,Outbound,Fak,LCL,FOB,Sihanoukville (Cambodia),"Salt Lake City, UT (USA)",,,6.50,PP,283.50
VOL18070187,Free Hand,Inbound,Ceramics & Stoneware,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),1,,,PP,282.61
VOL18070288,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,1.32,CC,282.16
VOL18070473,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,1151.00,,PP,278.93
VOL18100332,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,2.37,CC,277.42
VOL18070373,Nomination,Outbound,Bag and Luggage,LCL,EXW,Hai Phong (Vietnam),"Orlando, FL (USA)",,,7.22,PP,276.64
VOL18100162,Nomination,Outbound,Bag and Luggage,LCL,EXW,Ho Chi Minh (Vietnam),Keelung (Taiwan),,,5.90,PP,276.38
VOL18090333,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,275.91
VOL18100202 ,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,275.91
VOL18100444 ,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,275.91
VOL18090238,Nomination,Outbound,Auto Parts,Air,EXW,Ha Noi (Vietnam),Mexico City (Mexico),,500.00,,PP,275.50
VOL18050270,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Nagpur (India),4,,,PP,273.00
VOL18030524,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,409.00,,PP,271.96
VOL18040412,Nomination,Outbound,Machinery,LCL,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,,3.30,PP,270.25
VOL18050306 + VOL18060258,Nomination,Outbound,Bag and Luggage,FCL,FOB,Hai Phong (Vietnam),"Miami, FL (USA)",2,,,PP,270.00
VOL18110260,Nomination,Inbound,Machinery,LCL,DDP,Xiamen (China),Ho Chi Minh (Vietnam),,,4.00,PP,253.10
VOL18110328 ,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,202.44
VOL18080442,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Melbourne (Australia),1,,,PP,266.28
VOL18020149,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Vancouver (Canada),,,21.80,PP,266.00
VOL18020137/ w.o bổ sung: VOL18020467,Free Hand,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Hamburg (Germany),8,,,PP,265.00
VOL18100373,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),5,,,PP,265.00
"VOL18020316",Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,554.00,,PP,263.50
VOL18090223,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),3,,,PP,260.00
VOL18080111,Free Hand,Inbound,Chemicals (Non-Hazardous),FCL,Inland,Santos (Brazil),Hai Phong (Vietnam),6,,,PP,258.50
VOL18070119,Nomination,Inbound,Machinery,LCL,DDU,New Delhi (India),Ho Chi Minh (Vietnam),,,5.58,PP,257.52
VOL18090237,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),5,,,PP,255.00
VOL18080012,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Bahrain (Bahrain),1,,,PP,254.33
VOL18090236,Nomination,Outbound,Machinery,Air,FOB,Ha Noi (Vietnam),Melbourne (Australia),,229.00,,PP,254.15
VOL18030160,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),"Chicago, IL (USA)",1,,,PP,252.00
VOL18050146,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Bandar Abbas (Iran),1,,,PP,252.00
VOL18040482,Nomination,Outbound,Fruit,FCL,FOB,Ho Chi Minh (Vietnam),Male (Maldives),2,,,PP,250.46
VOL18050404,Nomination,Outbound,Foodstuffs,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,6.40,PP,250.40
VOL18070568,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,PP,250.00
VOL18020456,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),3,,,PP,250.00
VOL18100514,Nomination,Inbound,Clean Bench,LCL,DDU,Bangkok (Thailand),Ho Chi Minh (Vietnam),,,8.35,PP,245.39
VOL18090513,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Port Said (Egypt),,,11.50,CC,245.14
VOL18080312,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),2,,,PP,245.10
VOL18030643,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),2,,,PP,245.00
VOL18090172,Nomination,Outbound,Furniture,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,5.70,PP,242.40
VOL18100179,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),4,,,PP,241.91
VOL18090077,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,178.00,,PP,241.16
VOL18080075,Nomination,Inbound,House Model,Air,DDP,Kuala Lumpur (Airport) (Malaysia),Ho Chi Minh (Vietnam),,354.00,,CC,241.00
VOL18080613,Nomination,Outbound,Bag and Luggage,LCL,FOB,Ho Chi Minh (Vietnam),Keelung (Taiwan),,,5.10,PP,240.37
VOL18100156 ,Nomination,Outbound,Paper Product,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,240.01
VOL18080447,Nomination,Outbound,Garment/Textile,LCL,EXW,Hai Phong (Vietnam),Auckland (New Zealand),,,4.62,CC,240.00
VOL18080492,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,178.00,,PP,239.55
VOL18080410,Free Hand,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,238.64
VOL18080048,Nomination,Outbound,Paper Product,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,758.00,,CC,238.30
VOL18080325,Nomination,Outbound,Shoes,LCL,EXW,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,2.90,PP,237.50
VOL18070406,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,237.28
VOL18030125,Nomination,Inbound,Auto Parts,FCL,DDU,Nhavasheva (India),Ho Chi Minh (Vietnam),1,,,PP,237.00
VOL18061418 ,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),1,,,PP,236.95
VOL18110239,Nomination,Outbound,Paper Product,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,236.47
VOL18110360 ,Nomination,Outbound,Paper Product,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,236.47
VOL18030221,Nomination,Outbound,Fak,Air,DDU,Ho Chi Minh (Vietnam),New Delhi (India),,287.00,,PP,236.02
VOL18070194,Nomination,Outbound,Leather,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,292.00,,PP,235.95
VOL18040236,Nomination,Outbound,Foodstuffs,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,7.10,PP,235.25
VOL18070201,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chennai (India),9,,,PP,235.10
VOL18040578,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),8,,,CC,235.00
VOL18050412,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),8,,,CC,235.00
VOL18010157,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),8,,,CC,235.00
VOL18050234,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),5,,,PP,235.00
VOL18040034,Nomination,Outbound,Footwear,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,4.00,PP,235.00
VOL18050236,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),5,,,PP,235.00
VOL18040579,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),8,,,CC,235.00
VOL18030213,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ha Noi (Vietnam),"Boston, MA (USA)",,260.50,,PP,234.45
VOL18080348,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),5,,,PP,233.00
VOL18100508,Nomination,Outbound,Electrical Equipment,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),1,,,PP,232.18
VOL18110119 ,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,231.60
VOL18080253 ,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,164.00,,PP,230.76
VOL18090134,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),2,,,PP,229.79
VOL18090359,Nomination,Outbound,Paper Product,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,229.64
VOL18110359 ,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),2,,,PP,229.56
VOL18090481,Nomination,Outbound,Machinery,FCL,EXW,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),4,,,PP,229.42
VOL18080415,Free Hand,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,227.28
VOL18070364,Nomination,Outbound,Fak,LCL,EXW,Hai Phong (Vietnam),Toronto (Canada),,,1.01,PP,226.56
VOL18030457,Nomination,Outbound,Sporting Goods; Parts & Acessories,LCL,EXW,Ho Chi Minh (Vietnam),Port Klang (Malaysia),,,3.60,CC,226.34
VOL18110061,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,392.50,,CC,225.34
VOL18060343,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,225.18
VOL18030150,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Um Qasr (Iraq),2,,,PP,225.00
VOL18020460,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,225.00
VOL18010298,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,421.00,,PP,224.84
VOL18070477,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),2,,,PP,224.00
VOL18070354,Free Hand,Outbound,Gas Lighter,FCL,FOB,Haifa (Israel),Hamburg (Germany),1,,,PP,223.00
VOL18100498,Free Hand,Outbound,Gas Lighter,FCL,FOB,Hai Phong (Vietnam),Hamburg (Germany),1,,,PP,223.00
VOL18070398,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),3,,,PP,221.37
VOL18080288,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),3,,,PP,221.37
VOL18010393,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"New York, NY (USA)",1,,,CC,221.00
VOL18110373 ,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,220.90
VOL18010034 + VOL18010114,Nomination,Inbound,Fabrics & Yarns,LCL,DDU,Shanghai (China),Hai Phong (Vietnam),,,6.42,PP,220.65
VOL18080268,Nomination,Outbound,Crafts,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,5.20,PP,220.16
VOL18010516/VOL18010744 ,Nomination,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,364.00,,PP,219.84
VOL18080566,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),Shanghai (China),,,4.54,PP,219.65
VOL18100057 ,Nomination,Outbound,Bathroom Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),2,,,PP,219.00
VOL18070113,Free Hand,Outbound,Construction Material,Air,FOB,Ho Chi Minh (Vietnam),Paramaribo (Suriname),,322.00,,PP,218.95
VOL18010733,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Copenhagen (Denmark),,216.00,,PP,218.60
VOL18030656,Nomination,Inbound,Hardware,Air,DDU,Shanghai (China),Ho Chi Minh (Vietnam),,105.00,,PP,217.95
VOL18110329,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),4,,,PP,217.00
VOL18020156 + VOL18020212,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),"Miami, FL (USA)",,172.00,,PP,216.37
VOL18080603,Nomination,Outbound,Foodstuffs,FCL,FOB,Ho Chi Minh (Vietnam),Paranagua (Brazil),1,,,PP,216.24
VOL18040347,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),6,,,CC,215.86
VOL18060098,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),6,,,CC,215.86
VOL18090114,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),"Miami, FL (USA)",,115.50,,PP,215.45
VOL18110169,Nomination,Outbound,Foodstuffs,FCL,FOB,Ho Chi Minh (Vietnam),Rotterdam (Netherlands),2,,,PP,215.00
VOL18090037,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Bahrain (Bahrain),1,,,PP,212.88
VOL18050444,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,4.00,PP,212.00
VOL18050324,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),General Santos (Philippines),1,,,PP,212.00
VOL18110448 ,Nomination,Outbound,Electrical Equipment,Air,DDU,Ho Chi Minh (Vietnam),"Miami, FL (USA)",,25.00,,PP,211.52
VOL18080269,Nomination,Outbound,Liquid Chamber,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,4.90,PP,210.92
VOL18070475,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,772.00,,PP,210.75
VOL18100048 ,Nomination,Outbound,Paper Product,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,210.47
VOL18040054,Free Hand,Inbound,Fak,Air,DDU,"Atlanta, GA (USA)",Ho Chi Minh (Vietnam),,186.00,,PP,207.35
VOL18090208,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,136.00,,PP,207.33
VOL18110255 ,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),4,,,PP,207.00
VOL18010274,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,607.00,,PP,206.83
VOL18070458,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),1,,,PP,205.95
VOL18020082 + VOL18020200,Nomination,Outbound,Sporting Goods; Parts & Acessories,Air,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,156.00,,PP,205.95
VOL1806390,Free Hand,Inbound,Silica,FCL,DDU,Tianjin  (China),Da Nang (Vietnam),4,,,PP,205.87
VOL18110145 ,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),"Miami, FL (USA)",,41.00,,PP,205.72
VOL18040443,Nomination,Outbound,Dangerous Cargo,LCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),,,1.00,CC,205.70
VOL18080161,Nomination,Outbound,Hair Ornaments,Air,FOB,Ho Chi Minh (Vietnam),Amsterdam (Netherlands),,508.00,,PP,205.36
VOL18050490,Nomination,Outbound,Cuticle Nipper,Air,FCA,Ho Chi Minh (Vietnam),Moscow (Russia),,556.00,,PP,204.73
VOL18020469/VOL18030097,Nomination,Inbound,Lubricant,FCL,DAP,Singapore (Singapore),Ho Chi Minh (Vietnam),2,,,CC,204.02
VOL18010578,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,204.00
VOL18100159,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,136.00,,PP,201.17
VOL18070472,Free Hand,Inbound,Sporting Goods; Parts & Acessories,LCL,DDU,Ningbo (China),Ho Chi Minh (Vietnam),,,13.50,PP,200.77
VOL18090449,Nomination,Outbound,Paper Product,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,261.00,,PP,200.45
VOL18080412,Free Hand,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,200.00
VOL18080585,Free Hand,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,200.00
VOL18080274,Free Hand,Inbound,Foodstuffs,LCL,DDU,Singapore (Singapore),Phnom Penh (Cambodia),,,8.75,PP,200.00
VOL18090116,Free Hand,Outbound,Fabrics & Yarns,FCL,CIF/CNF,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,200.00
VOL18020028,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",2,,,PP,199.86
VOL18040603,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,198.70
VOL18050445,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),1,,,PP,198.00
VOL18080305,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,197.50
VOL18080306,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,197.50
VOL18010826/VOL18020158,Nomination,Inbound,Lubricant,FCL,DAP,Singapore (Singapore),Ho Chi Minh (Vietnam),1,,,CC,197.30
VOL18110117 ,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),3,,,PP,196.35
VOL18010712 + VOL18020003,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,196.31
VOL18010546 + VOL18030222,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,196.31
VOL18100062 ,Nomination,Outbound,Footwear,Air,FOB,Ho Chi Minh (Vietnam),Billund (Denmark),,950.00,,PP,196.10
VOL18030465,Free Hand,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Ashdod (Israel),2,,,PP,196.00
VOL18010276,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,421.00,,PP,195.84
VOL18040368,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,3.50,PP,195.00
VOL18060017,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,194.93
VOL18100050,Nomination,Outbound,Construction Material,LCL,FOB,Hai Phong (Vietnam),Melbourne (Australia),,,9.71,PP,194.78
VOL18070563,Nomination,Outbound,Acid Battery,FCL,FOB,Ho Chi Minh (Vietnam),"Miami, FL (USA)",1,,,PP,194.60
VOL18050170,Nomination,Inbound,Lubricant,FCL,DAP,Singapore (Singapore),Ho Chi Minh (Vietnam),1,,,PP,194.28
VOL18060597,Nomination,Inbound,Lubricant,FCL,DAP,Singapore (Singapore),Ho Chi Minh (Vietnam),2,,,PP,193.90
VOL18050518,Nomination,Domestics,Machinery,FCL,Inland,Ho Chi Minh (Vietnam),Hai Phong (Vietnam),1,,,CC,193.73
VOL18030169,Nomination,Outbound,Ceramics & Stoneware,Air,FOB,Ho Chi Minh (Vietnam),Mumbai (India),,287.00,,PP,193.62
VOL18100317,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,193.57
VOL18110314,Nomination,Outbound,Aluminum Handle,LCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),,,6.40,PP,237.31
VOL18060032,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Phnom Penh (Cambodia),2,,,PP,193.55
VOL18060110,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Phnom Penh (Cambodia),4,,,PP,193.55
VOL18010738,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Copenhagen (Denmark),,186.00,,PP,193.10
VOL18110259,Nomination,Outbound,Motobike Helmet,FCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),1,,,PP,193.00
VOL18050107,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Hai Phong (Vietnam),2,,,PP,192.40
VOL18060292,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Fuzhou (China),Ho Chi Minh (Vietnam),2,,,PP,192.18
VOL18070282,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,191.79
VOL18080304,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,191.79
VOL18080483,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,191.79
VOL18080352,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,191.32
VOL18040518,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),2,,,PP,191.00
VOL18080517,Free Hand,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),New Delhi (India),2,,,CC,190.87
VOL18070252,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,85.00,,PP,190.75
VOL18100085,Free Hand,Inbound,Paper Product,LCL,EXW,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.20,CC,190.49
VOL18080521,Nomination,Inbound,Ceramics & Stoneware,Air,DDU,Milan (Italy),Ha Noi (Vietnam),,402.00,,PP,189.47
VOL18060153,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),4,,,PP,188.58
VOL18080330,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),3,,,PP,188.40
VOL18080431,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),3,,,PP,188.40
VOL18100470,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.61,PP,187.61
VOL18100301,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.59,PP,187.49
VOL18080413,Free Hand,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,186.89
VOL18020306,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,186.30
VOL18010453,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,186.30
VOL18030389,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,186.30
VOL18050381,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,53.00,,PP,186.18
VOL18080557,Free Hand,Inbound,Machinery,FCL,DDU,Fuzhou (China),Hai Phong (Vietnam),2,,,PP,186.18
VOL18110443,Nomination,Outbound,Jackets,Air,FOB,Ho Chi Minh (Vietnam),Osnabrueck (Germany),,1418.00,,PP,185.08
VOL18040598,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),3,,,PP,185.00
VOL18050232,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),6,,,CC,185.00
VOL18010151,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),6,,,CC,185.00
VOL18050237,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),3,,,PP,185.00
VOL18050256,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),6,,,CC,185.00
VOL18100153 ,Nomination,Outbound,Frozen Seafood,FCL,FOB,Ho Chi Minh (Vietnam),Colombo (Sri Lanka),1,,,PP,185.00
VOL18050327,Nomination,Outbound,Fashion Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Port Said (Egypt),1,,,CC,184.59
VOL18100221,Nomination,Outbound,Electrical Equipment,Courier,Inland,Ho Chi Minh (Vietnam),"Miami, FL (USA)",,2.00,,PP,184.59
VOL18080562,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),"Houston, TX (USA)",,161.00,,PP,184.53
VOL18090376,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,184.48
VOL18060621,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,183.68
VOL18030794,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,183.30
